epochMillis,elapsedRealtimeNanos,latitude,longitude,altitudeMeters,accuracyMeters,speedMetersPerSecond,bearingDegrees,satellitesVisible,satellitesUsed,gpsUsed,qzssUsed
1767268800000,1000000000,35.000010000,134.999990000,49.8,3.000000000,1.000000000,45.000000000,18,12,8,2
1767268801000,2000000000,35.000026667,135.000006667,50.0,3.000000000,1.000000000,45.000000000,18,12,8,2
1767268802000,3000000000,35.000043333,135.000023333,50.2,3.000000000,1.000000000,45.000000000,18,12,8,2
1767268803000,4000000000,35.000060000,135.000040000,50.4,3.000000000,1.000000000,45.000000000,18,12,8,2
1767268804000,5000000000,35.000076667,135.000056667,50.6,3.000000000,1.000000000,45.000000000,18,12,8,2
1767268805000,6000000000,35.000093333,135.000073333,50.8,3.000000000,1.000000000,45.000000000,18,12,8,2
1767268806000,7000000000,35.000110000,135.000090000,51.0,3.000000000,1.000000000,45.000000000,18,12,8,2
1767268807000,8000000000,35.000126667,135.000106667,51.2,3.000000000,1.000000000,45.000000000,18,12,8,2
1767268808000,9000000000,35.000143333,135.000123333,51.4,3.000000000,1.000000000,45.000000000,18,12,8,2
1767268809000,10000000000,35.000160000,135.000140000,51.6,3.000000000,1.000000000,45.000000000,18,12,8,2
